xbins rho muloc c1
0.0025 0.54436352726181713724 0.2603091421374719 -0.8684471487993243
0.0075 0.53298663199653295575 0.2153384519929613 -0.8445973878057063
0.0125 0.51568187121742481427 0.1701749205852501 -0.8324401528661649
0.0175 0.50323214139595773275 0.1248244336808941 -0.8115281353183312
0.0225 0.49789423386783121517 0.0792928965893926 -0.7766605028945868
0.0275 0.48473130141296960627 0.0335862333210812 -0.7577467925954674
0.0325 0.47205932714483567203 -0.0122896142572770 -0.7383609939345555
0.0375 0.46884082347628702747 -0.0583286872690838 -0.6991632764474350
0.0425 0.46492528040682856716 -0.1045250106765561 -0.6613535629269545
0.0475 0.45496468838803072465 -0.1508725941313109 -0.6366628768499216
0.0525 0.43499703505704107043 -0.1973654328267533 -0.6350506310507535
0.0575 0.41546376859908212831 -0.2439975083521355 -0.6343623596574592
0.0625 0.42246042786096793531 -0.2907627895481824 -0.5708967088908042
0.0675 0.40384644525058566167 -0.3376552333641190 -0.5690653259212669
0.0725 0.40313930382937285257 -0.3846687857160047 -0.5238043239781431
0.0775 0.39235640735790749956 -0.4317973823462369 -0.5037872674759780
0.0825 0.39903788358633840438 -0.4790349496840896 -0.4396639705836265
0.0875 0.37704982619474070038 -0.5263754057071566 -0.4490025295872032
0.0925 0.37421317889364691389 -0.5738126608035903 -0.4091169861087883
0.0975 0.36469707576818288786 -0.6213406186349881 -0.3873475807489681
0.1025 0.36569111456600206234 -0.6689531769998038 -0.3370130741798678
0.1075 0.36059767592920910495 -0.7166442286971597 -0.3033481845470423
0.1125 0.35268375322380723924 -0.7644076623909291 -0.2777758444198002
0.1175 0.35075426734592651812 -0.8122373634739506 -0.2354320302534345
0.1225 0.34179377533712967940 -0.8601272149322763 -0.2134205049527793
0.1275 0.33166953058942255650 -0.9080710982092741 -0.1955450973766781
0.1325 0.32677005074244797056 -0.9560628940695124 -0.1624356701213017
0.1375 0.32640031679935671560 -1.0040964834622566 -0.1155342018441352
0.1425 0.32300603797753513202 -1.0521657483844744 -0.0779185141208247
0.1475 0.31149175523612965266 -1.1002645727432048 -0.0661178363035055
0.1525 0.30807121116152019757 -1.1483868432171747 -0.0290374744452904
0.1575 0.29817931288078303176 -1.1965264501175319 -0.0135338022442859
0.1625 0.29546388982332577600 -1.2446772882475634 0.0254686383850464
0.1675 0.29106547018338196908 -1.2928332577612762 0.0586262040936991
0.1725 0.28625488811507415754 -1.3409882650207101 0.0901156171457611
0.1775 0.28123418402446304087 -1.3891362234518585 0.1205686618274411
0.1825 0.27457493224069884352 -1.4372710543990697 0.1447399763124675
0.1875 0.26993608451754264044 -1.4853866879777999 0.1758166159613854
0.1925 0.26878041339487485084 -1.5334770639255884 0.2196165241029862
0.1975 0.26064222583874546713 -1.5815361324511470 0.2369295381832472
0.2025 0.25477295204267902395 -1.6295578550814127 0.2621753404839298
0.2075 0.25159687685940312907 -1.6775362055064560 0.2976090381551315
0.2125 0.25342534253425341717 -1.7254651704221153 0.3527791643273503
0.2175 0.24213734504763606559 -1.7733387503702300 0.3550885780731585
0.2225 0.23976134987236097373 -1.8211509605763549 0.3930397346850456
0.2275 0.23314452657386949830 -1.8688958317848192 0.4127990997954698
0.2325 0.23338697506114247648 -1.9165674110910351 0.4615100451820013
0.2375 0.22914210612980490112 -1.9641597627708820 0.4907468456661379
0.2425 0.22650143802259015136 -2.0116669691071145 0.5266629839135197
0.2475 0.21912494279731004054 -2.0590831312126023 0.5409699344213337
0.2525 0.21565186821712473142 -2.1064023698503234 0.5723124771154464
0.2575 0.21777127207670263220 -2.1536188262499909 0.6293088485928051
0.2625 0.20430931982087097154 -2.2007266629211566 0.6126065030327879
0.2675 0.20443054406450747451 -2.2477200644627220 0.6601930654470827
0.2725 0.19944216643886611418 -2.2945932383686909 0.6823622611524962
0.2775 0.19707627328389404342 -2.3413404158300803 0.7171759646833267
0.2825 0.19278089425104127930 -2.3879558525328517 0.7417548546085142
0.2875 0.18969169644237152128 -2.4344338294517538 0.7720786544039133
0.2925 0.18572766367545845423 -2.4807686536399536 0.7972948016332682
0.2975 0.18184242666690911272 -2.5269546590143510 0.8223399045540492
0.3025 0.17408811588229530787 -2.5729862071364549 0.8247925123016384
0.3075 0.17598123448708508088 -2.6188576879886960 0.8814797761276854
0.3125 0.16878253481913849110 -2.6645635207460932 0.8854193518614986
0.3175 0.16863302491865347910 -2.7100981545431200 0.9300677792821144
0.3225 0.16490942023495278046 -2.7554560692356898 0.9530971451428680
0.3275 0.16237987435107145706 -2.8006317761581436 0.9828149908144137
0.3325 0.16153534545373729459 -2.8456198188751118 1.0225885159086041
0.3375 0.15809661774258235156 -2.8904147739281605 1.0458658457800663
0.3425 0.15215056859221276486 -2.9350112515771056 1.0521265859813291
0.3475 0.15091206090306000243 -2.9794038965358869 1.0883459065952339
0.3525 0.14618229499717649844 -3.0235873887028863 1.1006865484525761
0.3575 0.14510744003693298865 -3.0675564438856036 1.1372755987163838
0.3625 0.13982206301438224183 -3.1113058145195769 1.1439211712998851
0.3675 0.13891086078304801243 -3.1548302903814074 1.1809074494854166
0.3725 0.13476499165068023256 -3.1981246992958616 1.1939018792070377
0.3775 0.13178287525722268136 -3.2411839078368669 1.2145843127184284
0.3825 0.12864518775109834436 -3.2840028220223552 1.2333056753248561
0.3875 0.12683692611685409846 -3.3265763880028243 1.2617233240614327
0.3925 0.12425080891927577087 -3.3688995927435332 1.2834464891336479
0.3975 0.12372752426757827049 -3.4109674647002146 1.3212939485914141
0.4025 0.11992714422957446996 -3.4527750744882346 1.3319042224890181
0.4075 0.11709453773660194464 -3.4943175355450711 1.3495438799351898
0.4125 0.11708847652442011533 -3.5355900047860365 1.3907645844296614
0.4175 0.11349013689247712533 -3.5765876832531482 1.4005483377907253
0.4225 0.11115454979841418726 -3.6173058167570398 1.4204721112062177
0.4275 0.10788351562428970254 -3.6577396965118387 1.4310365035562072
0.4325 0.10754610814616814840 -3.6978846597629031 1.4680490493792120
0.4375 0.10454782852022576067 -3.7377360904073402 1.4796254673110831
0.4425 0.10420435982992239110 -3.7772894196072073 1.5158881100471695
0.4475 0.10121214141616181881 -3.8165401263953163 1.5260035715381854
0.4525 0.09970289958288758303 -3.8554837382735405 1.5499232189144019
0.4575 0.09841186138815902207 -3.8941158318035578 1.5755218921775493
0.4625 0.09532468398354987382 -3.9324320331899356 1.5819655447982770
0.4675 0.09287191345397166620 -3.9704280188554626 1.5938940090235763
0.4725 0.09351440194524503202 -4.0080995160086728 1.6384596929594903
0.4775 0.08972210352348365670 -4.0454423032034521 1.6344041790229551
0.4825 0.08876847280687664987 -4.0824522108906685 1.6607284829078721
0.4875 0.08829165744857314646 -4.1191251219617406 1.6920154664949281
0.4925 0.08637429399505607008 -4.1554569722840569 1.7063918016377504
0.4975 0.08506103135566081552 -4.1914437512281877 1.7270574870351902
0.5025 0.08419831882178116511 -4.2270815021868096 1.7525011777664612
0.5075 0.08287091335396165603 -4.2623663230852635 1.7718951804305725
0.5125 0.08164452808917255222 -4.2972943668836665 1.7919138884056918
0.5175 0.07949885897680676605 -4.3318618420705430 1.7998492321526975
0.5225 0.07744410804716835017 -4.3660650131478498 1.8078662238567884
0.5275 0.07724206764110753964 -4.3999002011073891 1.8390891483732101
0.5325 0.07555705065456040648 -4.4333637838984803 1.8504965136295590
0.5375 0.07488223569831731208 -4.4664521968868893 1.8746136067106041
0.5425 0.07386193164771022446 -4.4991619333048840 1.8936042162309392
0.5475 0.07295274982043659096 -4.5314895446924153 1.9135462345599668
0.5525 0.07189809890079916499 -4.5634316413293243 1.9309261858456117
0.5575 0.07112226374152566533 -4.5949848926585233 1.9516300342619441
0.5625 0.07002922514473669535 -4.6261460277001021 1.9673034057052532
