temperature pressure
0.67000 0.00331847509149531088
0.67853 0.00370751017440411291
0.68706 0.00413021958865721767
0.69559 0.00458847783975829468
0.70412 0.00508429126451097335
0.71265 0.00561927183410249661
0.72118 0.00619567686344340944
0.72971 0.00681503223833576643
0.73824 0.00747969108394353974
0.74678 0.00819141988621143943
0.75531 0.00895234099391305389
0.76384 0.00976430836403776974
0.77237 0.01062967279868969397
0.78090 0.01155018393661080833
0.78943 0.01252821073095057233
0.79796 0.01356555097476672134
0.80649 0.01466487459791595248
0.81502 0.01582763309881534200
0.82355 0.01705667848284318777
0.83208 0.01835360724780261618
0.84061 0.01972145264207248241
0.84914 0.02116129179063725232
0.85767 0.02267669961791148048
0.86620 0.02426896816729529061
0.87473 0.02594073597499424802
0.88327 0.02769467414420880708
0.89180 0.02953262182375216913
0.90033 0.03145801170165160587
0.90886 0.03347210976523649906
0.91739 0.03557813668295788101
0.92592 0.03777854418074728937
0.93445 0.04007587732262255648
0.94298 0.04247339182363316090
0.95151 0.04497282271800751019
0.96004 0.04757823212833074689
0.96857 0.05029187729713292115
0.97710 0.05311670393901254950
0.98563 0.05605752472784503171
0.99416 0.05911422059362061998
1.00269 0.06229509173784507359
1.01122 0.06560155598449865511
1.01976 0.06903612722880116126
1.02829 0.07260720298651149318
1.03682 0.07631721015429653032
1.04535 0.08017225141521222564
1.05388 0.08418043219739083927
1.06241 0.08834122407829222978
1.07094 0.09264344151071618461
1.07947 0.09712030998893721179
1.08800 0.10182915107612866557
