temperature rho_g rho_l mu_coex
0.67000 0.00134301408784912339 0.85471466887871705431 -6.64144692730222985233
0.68286 0.00160357232305900462 0.84997198387504691031 -6.46856920307880223220
0.69571 0.00190235750622979108 0.84494175343007005274 -6.30260057444597876497
0.70857 0.00224268335326846015 0.83968124272250221907 -6.14339014415909900890
0.72143 0.00262790251166952153 0.83423871092573342878 -5.99074011564276798225
0.73429 0.00306149593453679389 0.82865519207519633405 -5.84439006681571360247
0.74714 0.00354690002194497445 0.82296235264322636915 -5.70409687731943204625
0.76000 0.00408773708974318004 0.81718646168450503886 -5.56957652191361329841
0.77286 0.00468764282060182402 0.81134689690916506066 -5.44056154990209073219
0.78571 0.00535031783021401499 0.80545742401729480964 -5.31679352451491205045
0.79857 0.00607975993902209067 0.79952938559114927752 -5.19798862559369378999
0.81143 0.00687979249066275524 0.79356816073551406099 -5.08391433581629037519
0.82429 0.00775461556983827061 0.78757800694839186217 -4.97431533711679740861
0.83714 0.00870837984228447874 0.78156008701200196942 -4.86896422612419854659
0.85000 0.00974567614358301526 0.77551351118828937281 -4.76764360824929589455
0.86286 0.01087100203409221109 0.76943536709695237175 -4.67015636749104690040
0.87571 0.01208916608333059084 0.76332341289764804593 -4.57628955796986325311
0.88857 0.01340529524882164321 0.75717149353489765495 -4.48588111510434295326
0.90143 0.01482473967292709076 0.75097445021738562509 -4.39875480128070783792
0.91429 0.01635288418080568448 0.74472624961466227234 -4.31474642314111811459
0.92714 0.01799645638341907522 0.73842066557613939004 -4.23369684531708667663
0.94000 0.01976083059491383354 0.73204822236744837571 -4.15548708290798884946
0.95286 0.02165340780955589059 0.72560201658693557203 -4.07996935501502111521
0.96571 0.02368185338251172986 0.71907377215154955064 -4.00701449700014133981
0.97857 0.02585302975115933918 0.71245243151354464839 -3.93652148763939724319
0.99143 0.02817666409870962438 0.70572846336372929699 -3.86837355071028232700
1.00429 0.03066107626950431361 0.69889191574560938225 -3.80245818455181572304
1.01714 0.03331744975267319359 0.69192905791081171785 -3.73869342809633753433
1.03000 0.03615638060478319760 0.68482914516449377995 -3.67696892981297818181
1.04286 0.03919136445789083573 0.67757579312035465247 -3.61721419228211304997
1.05571 0.04243451146552511266 0.67015393621397034707 -3.55934095467027100668
1.06857 0.04590408169618827999 0.66254566945282777901 -3.50327267320434287967
1.08143 0.04961470315722749796 0.65473048234892627928 -3.44893904426136943542
1.09429 0.05359030068607444075 0.64668597117308890265 -3.39626793052903508396
1.10714 0.05785055575929541616 0.63838619763573978272 -3.34519235295164207855
1.12000 0.06242722846531959663 0.62980063951751230622 -3.29565045710651149946
1.13286 0.06734854150112339066 0.62089482711283350280 -3.24757814913564679671
1.14571 0.07265492109185892056 0.61162076607759940927 -3.20094033655987164622
1.15857 0.07839072095356428016 0.60193332193097826011 -3.15565912610234633462
1.17143 0.08461403695314720363 0.59176123171896577446 -3.11171078544398183041
1.18429 0.09139437902171346217 0.58103494730443450145 -3.06901762611870410069
1.19714 0.09882643968542448309 0.56964504221034628628 -3.02755910324303467718
1.21000 0.10702321085472374373 0.55745970497075036931 -2.98728862021304353291
1.22286 0.11614322737271569330 0.54430568754746688764 -2.94815594483974363627
1.23571 0.12641870908449912014 0.52992424077192779031 -2.91013976551241926316
1.24857 0.13817401142358989863 0.51395610362971211327 -2.87319388934199126950
1.26143 0.15194015907673125154 0.49583142074065628124 -2.83728822181615791820
1.27429 0.16864467275247685407 0.47458704808093998828 -2.80239447041221101387
1.28714 0.19006063173619525131 0.44820510078164793599 -2.76855364113212898403
1.30000 0.22021733367587142949 0.41072163309948928056 -2.73593906323700508665
