mu LJ_rho LJ_err
-10.0 0.0010242869875222817 0.00015680687279747327
-9.0 0.0010657567173147913 0.00026035600252387607
-8.0 0.0011789195210247846 0.00043804208815438107
-7.0 0.001521442919317041 0.0007697574131270556
-6.0 0.0027119125 0.0014532525906886151
-5.0 0.006827324999999994 0.002614317950130592
-4.0 0.018875137499999996 0.004389672180937298
-3.0 0.053630775000000006 0.007613445205646773
-2.0 0.160453725 0.013230131655595086
-1.0 0.39006075 0.015055916094262198
0.0 0.5658891875000001 0.011693646056291643
1.0 0.6711171749999999 0.00955037145975996
2.0 0.7451083625000002 0.009285334946492621
3.0 0.8012714375000001 0.008914864507306422
4.0 0.8457463875 0.01025422928356277
5.0 0.8828458625000001 0.012237618401110595
6.0 0.9147135000000002 0.018411592618512936
7.0 0.9400720500000002 0.01817932297411924
8.0 0.9500821874999997 0.017140226302905567
9.0 0.9583074874999998 0.016794687074711972
10.0 0.9810539125000001 0.02020443159166248
11.0 0.9895659625000001 0.016984133005501653
12.0 1.0032085124999999 0.017657202780661487
13.0 1.011686325 0.02035039699844411
14.0 1.02387085 0.02115348482584984
15.0 1.0363172125000002 0.01806144758123308
-0.5 0.49034586249999995 0.013142835182375391
0.5 0.623771475 0.010444836108068381
-1.5 0.26793786249999996 0.01567190803415663
