mu LJ_rho LJ_err
-10.0 0.001028628942071125 0.00016942249020344442
-9.0 0.0010621850175108914 0.00025221819497035666
-8.0 0.0011775254034668264 0.00043293095602224427
-7.0 0.0015322811812545833 0.0007770248417467733
-6.0 0.0027495625000000003 0.0014812641758279019
-5.0 0.007168487499999995 0.0027470892709085724
-4.0 0.0219618875 0.005177710395275137
-3.0 0.6027219750000001 0.037083650401481254
-2.0 0.7310871625000002 0.011580177684242915
-1.0 0.7894558250000001 0.012551193113373878
0.0 0.8259226875 0.017862645668470695
1.0 0.8386065375 0.019615549947966524
2.0 0.8577071875000002 0.018764708853050573
3.0 0.867598025 0.018759376751357477
4.0 0.8707039375000001 0.01936446124982897
5.0 0.8846385125 0.01598384307002677
6.0 0.9029146875 0.019877109555397354
7.0 0.9061564125000001 0.021597801916626656
8.0 0.9145306875000002 0.019084644567751843
9.0 0.9241363874999999 0.01867820684513533
10.0 0.9416881375000001 0.01970596557596535
11.0 0.9538462625000002 0.020356336907237142
12.0 0.9411904249999999 0.014023998656563761
13.0 0.954833575 0.018711094375245686
14.0 0.9629496500000001 0.0174655121561772
15.0 0.9639709124999999 0.018917025834350003
-3.5 0.042871637500000004 0.008054881164152174
-3.2 0.073161925 0.012874298244735733
-3.1 0.09542754999999999 0.017939395920641813
-3.08 0.1025031 0.019924641537304628
-3.06 0.11258121249999999 0.02423493046265928
-3.01 0.6000414374999999 0.038130169753536634
-2.5 0.6851051500000002 0.012569754113643423
-3.03 0.59149955 0.05309989783226873
-3.02 0.5985219625 0.02354457193598222
-3.05 0.5892711124999999 0.018991535233159308
-3.04 0.5936624249999999 0.018526428908978192
