Temperature	Min	Max
0.8	0.020478103100775195	0.7295878714285714
0.85	0.02988092231404959	0.6982520597014925
1.04	0.13754197674418603	0.511950794117647
0.9	0.04712824385964913	0.6627386666666666
1.02	0.11333116981132076	0.5475962647058823
1.03	0.1423446376811594	0.5233913636363637
1.01	0.10471909374999999	0.5559791875000001
1.07	0.21586757142857146	0.42799781818181815
0.95	0.06851956759259259	0.6191578615384614
1.05	0.1589188157894737	0.48162207894736847
1.0	0.10299773048780489	0.5683328333333334
0.7	0.007317752608695653	0.7862704927536233
1.06	0.17362346875	0.4590177368421053
0.75	0.012844156818181818	0.7588528550724638
