xbins rho muloc c1
0.0025 0.77579273078823030030 2.2603091421374719 -2.5141790361135179
0.0075 0.82520777330258276994 2.2153384519929613 -2.4074585299210320
0.0125 0.76669687170737277349 2.1701749205852501 -2.4358386892151498
0.0175 0.73908198900698152123 2.1248244336808941 -2.4271708519866202
0.0225 0.72784046081375819437 2.0792928965893926 -2.3969662986249562
0.0275 0.86203569851934691570 2.0335862333210812 -2.1820448289015144
0.0325 0.86884446020359606955 1.9877103857427230 -2.1283015425870562
0.0375 0.73723129888746452565 1.9416713127309162 -2.2465249103787746
0.0425 0.77577050634356370384 1.8954749893234439 -2.1493735311098225
0.0475 0.85032139577594123558 1.8491274058686891 -2.0112682941554700
0.0525 0.79164684145182195874 1.8026345671732467 -2.0362744610449632
0.0575 0.78153875993659971400 1.7560024916478645 -2.0024930251504971
0.0625 0.75527552755275528806 1.7092372104518176 -1.9899098696023305
0.0675 0.82604017977555332930 1.6623447666358810 -1.8534566294840418
0.0725 0.71673429969259550010 1.6153312142839953 -1.9483812936011722
0.0775 0.79465320269400674391 1.5682026176537631 -1.7980521001809180
0.0825 0.77699083039617089508 1.5209650503159104 -1.7732917802919652
0.0875 0.78565028219993715553 1.4736245942928434 -1.7148681134459594
0.0925 0.76484416118379516814 1.4261873391964097 -1.6942705159747447
0.0975 0.77175596347513542028 1.3786593813650119 -1.6377462697836751
0.1025 0.74833341920050588936 1.3310468230001962 -1.6209534757295434
0.1075 0.77952037628005221848 1.2833557713028403 -1.5324322219362969
0.1125 0.74756768606153545242 1.2355923376090709 -1.5265227655106650
0.1175 0.83384904146980354245 1.1877626365260494 -1.3694655349647902
0.1225 0.78723023817533266389 1.1398727850677237 -1.3791073067333257
0.1275 0.72587258725872583209 1.0919289017907259 -1.4123096809935598
0.1325 0.76903043839737506016 1.0439371059304876 -1.3065618343991943
0.1375 0.76868696970707173222 0.9959035165377436 -1.2589749703855153
0.1425 0.79880311263449577108 0.9478342516155257 -1.1724750324255178
0.1475 0.79517244653758301087 0.8997354272567952 -1.1289317012232631
0.1525 0.76303994035767208626 0.8516131567828255 -1.1220580593791423
0.1575 0.77125692367216525103 0.8034735498824681 -1.0632072764766605
0.1625 0.81492593703814830697 0.7553227117524367 -0.9599807564228939
0.1675 0.77343896005762191592 0.7071667422387238 -0.9640752682742642
0.1725 0.81426526491032946709 0.6590117349792899 -0.8644808227774585
0.1775 0.78632913796430148334 0.6108637765481416 -0.8512436001619178
0.1825 0.76812327697416205030 0.5627289456009303 -0.8265339874234132
0.1875 0.74215300317910581906 0.5146133120222001 -0.8128131653486013
0.1925 0.68483616038371508683 0.4665229360744117 -0.8450985873244650
0.1975 0.75517046654160369101 0.4184638675488531 -0.6992756392684107
0.2025 0.77378040834386463409 0.3704421449185873 -0.6269093007143813
0.2075 0.75471789603202743546 0.3224637944935441 -0.6038750416900280
0.2125 0.72646658605254466057 0.2745348295778847 -0.5940976196527585
0.2175 0.70596756645361502525 0.2266612496297700 -0.5748472320413338
0.2225 0.71526142513241219856 0.1788490394236451 -0.5139562129821507
0.2275 0.69002253760729603815 0.1311041682151808 -0.5021351869404638
0.2325 0.73379257117630958263 0.0834325889089649 -0.3929614797928891
0.2375 0.71971843649011368882 0.0358402372291180 -0.3647354411156224
0.2425 0.65570597463786783887 -0.0116669691071145 -0.4103758308002818
0.2475 0.67619085140837320580 -0.0590831312126023 -0.3321967870040527
0.2525 0.65114188186495414179 -0.1064023698503232 -0.3226253461766783
0.2575 0.65155808510143942147 -0.1536188262499907 -0.2747699041913799
0.2625 0.65221471642113704181 -0.2007266629211567 -0.2266547886838253
0.2675 0.64509683291561481511 -0.2477200644627221 -0.1906347804404648
0.2725 0.65974476235502332866 -0.2945932383686907 -0.1213090040943814
0.2775 0.63861739709324472081 -0.3413404158300803 -0.1071093406911708
0.2825 0.61066510691473185890 -0.3879558525328518 -0.1052507240655138
0.2875 0.60016506701175165173 -0.4344338294517539 -0.0761167204642647
0.2925 0.58878009013022514218 -0.4807686536399536 -0.0489338728161069
0.2975 0.58364220260409882535 -0.5269546590143511 -0.0115124916703423
0.3025 0.57793658153694160706 -0.5729862071364551 0.0246950702826360
0.3075 0.57260675562505747305 -0.6188576879886959 0.0613015997586033
0.3125 0.54610713596612181497 -0.6645635207460933 0.0596234179784620
0.3175 0.53919937448290278237 -0.7100981545431202 0.0924282750747702
0.3225 0.52457164908410036652 -0.7554560692356898 0.1102828133058259
0.3275 0.55305732593461365276 -0.8006317761581437 0.2083381568602122
0.3325 0.52861447760937707585 -0.8456198188751118 0.2081239302794331
0.3375 0.52654962465943566663 -0.8904147739281605 0.2490050759425126
0.3425 0.51033588207305580209 -0.9350112515771057 0.2623250738367138
0.3475 0.49562329970370772037 -0.9794038965358870 0.2774647793265520
0.3525 0.48364028322024121831 -1.0235873887028863 0.2971735236279828
0.3575 0.47178051138447180124 -1.0675564438856038 0.3163150240812660
0.3625 0.48716790871006293573 -1.1113058145195769 0.3921593809419711
0.3675 0.46834178367331680271 -1.1548302903814074 0.3962733477667957
0.3725 0.45910045550009548343 -1.1981246992958616 0.4196384637271878
0.3775 0.42960457661927808903 -1.2411839078368669 0.3962938252032498
