xbins rho muloc c1
0.0025 0.64921919461972932286 1.2603091421374719 -1.6922940193424272
0.0075 0.66231980164052650650 1.2153384519929613 -1.6273452076364903
0.0125 0.66654664278191355642 1.1701749205852501 -1.5758200807289391
0.0175 0.64552846016357257053 1.1248244336808941 -1.5625104132420424
0.0225 0.62570851599468291226 1.0792928965893926 -1.5481635423119289
0.0275 0.63871110350959836577 1.0335862333210812 -1.4818892673406776
0.0325 0.62477433009168825695 0.9877103857427230 -1.4580751520438944
0.0375 0.60735286321978076973 0.9416713127309162 -1.4403166462948844
0.0425 0.58802901777453708831 0.8954749893234439 -1.4264539716679274
0.0475 0.57163575551534751007 0.8491274058686891 -1.4083806873656528
0.0525 0.57696081520222519678 0.8026345671732467 -1.3526154932146666
0.0575 0.56538851231395048647 0.7560024916478645 -1.3262446433803334
0.0625 0.54172580343488352383 0.7092372104518176 -1.3222325137253530
0.0675 0.57291000909180922473 0.6623447666358810 -1.2193713934330614
0.0725 0.54132572381903998338 0.6153312142839953 -1.2290653182959512
0.0775 0.56853513849255998824 0.5682026176537631 -1.1328947762216246
0.0825 0.53526251724093099060 0.5209650503159104 -1.1459630163176144
0.0875 0.54951535355535752192 0.4736245942928434 -1.0723431588655812
0.0925 0.53341815021189220580 0.4261873391964097 -1.0546369796156778
0.0975 0.52509249340618779911 0.3786593813650119 -1.0228402353564836
0.1025 0.52552657978937811212 0.3310468230001962 -0.9744013329456358
0.1075 0.54677080739067074333 0.2833557713028403 -0.8870813349535184
0.1125 0.50166783189854780023 0.2355923376090709 -0.9254094053576813
0.1175 0.50828114794844170277 0.1877626365260494 -0.8644831801782167
0.1225 0.50990747158684579521 0.1398727850677237 -0.8133987830526739
0.1275 0.49664283192355279661 0.0919289017907259 -0.7918130610686621
0.1325 0.48946940441147790413 0.0439371059304876 -0.7583704286514192
0.1375 0.47905333161299096245 -0.0040964834622564 -0.7318468648224222
0.1425 0.49713693024911959073 -0.0521657483844743 -0.6467240288682131
0.1475 0.48368425316638008482 -0.1002645727432048 -0.6260583818988189
0.1525 0.47330618793139833667 -0.1483868432171745 -0.5996259249230156
0.1575 0.46404234442654090920 -0.1965264501175319 -0.5712530212622895
0.1625 0.46504854466038741956 -0.2446772882475633 -0.5209361934771047
0.1675 0.47263405417678117093 -0.2928332577612762 -0.4566006019824042
0.1725 0.47375227670306391259 -0.3409882650207101 -0.4060824518706624
0.1775 0.45133381542927042407 -0.3891362234518584 -0.4064118225673506
0.1825 0.43889133937653590500 -0.4372710543990697 -0.3862323606501308
0.1875 0.45494653436033771765 -0.4853866879777999 -0.3021886858582201
0.1925 0.46840521263731482726 -0.5334770639255884 -0.2249444547926142
0.1975 0.43252007149422733168 -0.5815361324511470 -0.2565904131567392
0.2025 0.42857128568585151074 -0.6295578550814127 -0.2177403387055263
0.2075 0.42666490631635695108 -0.6775362055064560 -0.1742201310596775
0.2125 0.41583875191163038876 -0.7254651704221153 -0.1519925390381445
0.2175 0.40882135544973452479 -0.7733387503702300 -0.1211382517283897
0.2225 0.39769914212928370034 -0.8211509605763549 -0.1009085232744644
0.2275 0.39657291801068411674 -0.8688958317848192 -0.0559995188423590
0.2325 0.40781315481780872068 -0.9165674110910351 0.0196212477422375
0.2375 0.38736108485588632844 -0.9641597627708820 0.0157617776145094
0.2425 0.39908941879434006728 -1.0116669691071145 0.0930971891605467
0.2475 0.37696101524203318167 -1.0590831312126023 0.0834696264854503
0.2525 0.38535268518435167318 -1.1064023698503231 0.1528060712380203
0.2575 0.37807323657407826412 -1.1536188262499907 0.1809514716712802
0.2625 0.36866136361135865007 -1.2007266629211568 0.2028498928320807
0.2675 0.35038572675962514902 -1.2477200644627222 0.1989994095796743
0.2725 0.36888540819623105715 -1.2945932383686907 0.2973240083037262
0.2775 0.34263618460073552718 -1.3413404158300803 0.2702543347928494
0.2825 0.34064378811383466683 -1.3879558525328517 0.3110378952124757
0.2875 0.33678702061710280580 -1.4344338294517538 0.3461292947350592
0.2925 0.33525071489226354604 -1.4807686536399536 0.3878920292327328
0.2975 0.32106789251060963153 -1.5269546590143510 0.3908519839469089
0.3025 0.32480863691874684029 -1.5729862071364551 0.4484671275868981
0.3075 0.32106189131637197232 -1.6188576879886960 0.4827363213906972
0.3125 0.31635295423789333569 -1.6645635207460932 0.5136667758240514
0.3175 0.30942157489340377241 -1.7100981545431202 0.5370475426631520
0.3225 0.30100990097029306503 -1.7554560692356898 0.5548439480504597
0.3275 0.29271625053385624815 -1.8006317761581436 0.5720802087514103
0.3325 0.28956962435524669086 -1.8456198188751118 0.6062603066272942
0.3375 0.28319635607485887929 -1.8904147739281605 0.6287999897155019
0.3425 0.27748321916061297054 -1.9350112515771056 0.6530164324596968
0.3475 0.27029978965814199787 -1.9794038965358869 0.6711802926565742
0.3525 0.26970567142861429089 -2.0235873887028863 0.7131633683016723
0.3575 0.26854744094074722849 -2.0675564438856036 0.7528287520371144
0.3625 0.26008175626949764370 -2.1113058145195769 0.7645465643151867
0.3675 0.25828539879436007709 -2.1548302903814074 0.8011401818133199
0.3725 0.25111997287460202655 -2.1981246992958616 0.8163002248297442
0.3775 0.24265228780527325902 -2.2411839078368669 0.8250581330780471
0.3825 0.24495874679061133139 -2.2840028220223552 0.8773373589608819
0.3875 0.23874551035656096931 -2.3265763880028243 0.8942192834154412
0.3925 0.23458668274986721469 -2.3688995927435332 0.9189694825974419
0.3975 0.23020781135445952947 -2.4109674647002146 0.9421946143339726
0.4025 0.22418661313601406793 -2.4527750744882346 0.9574985948878540
0.4075 0.22582093836673497456 -2.4943175355450711 1.0063046336814661
0.4125 0.21797337670196367809 -2.5355900047860365 1.0122076559147464
0.4175 0.21198618525086493358 -2.5765876832531482 1.0253535129087492
0.4225 0.20571293687443800713 -2.6173058167570398 1.0360322244077687
0.4275 0.20699719244129582973 -2.6577396965118387 1.0826896476175638
0.4325 0.20520483576231671186 -2.6978846597629031 1.1141380598928659
0.4375 0.20329645599474294171 -2.7377360904073402 1.1446460995157379
0.4425 0.19604101216142011399 -2.7772894196072073 1.1478580236882860
0.4475 0.19387058024546885426 -2.8165401263953163 1.1759756717214342
0.4525 0.19125205915977280813 -2.8554837382735405 1.2013206987885718
0.4575 0.18500281556029649077 -2.8941158318035578 1.2067315970287800
0.4625 0.18178217465275589571 -2.9324320331899356 1.2274858819292744
0.4675 0.18083798675936510469 -2.9704280188554626 1.2602742695202487
0.4725 0.17927967665565447408 -3.0080995160086728 1.2892912629458186
0.4775 0.17349852620671513126 -3.0454423032034521 1.2938561290863588
0.4825 0.17231028974765977280 -3.0824522108906685 1.3239937936108448
