rho_b WCA_p WCA_err
0.05 0.08348224104969285 2.845208180091769e-08
0.1 0.18581193620454428 4.75302992595032e-08
0.15 0.31181555292368673 1.0034864675956774e-07
0.2 0.4666818050056317 3.497170423465917e-07
0.25 0.654617788654236 3.0405342112745315e-07
0.3 0.8842308502682281 3.8332026777684916e-07
0.35 1.1642923969331758 9.184954093615317e-07
0.4 1.5098096351517798 7.475660476401684e-07
0.45 1.92503049882832 1.0327790488191917e-06
0.5 2.4299666638708266 1.5101667280751055e-06
0.55 3.0472148961358716 1.7183503276704383e-06
0.6 3.7948704076138164 2.2441614612419527e-06
0.65 4.702539803343382 2.6994768628839774e-06
0.7 5.80985642059677 3.4319319889732833e-06
0.75 7.15143948036863 3.890985481588282e-06
0.8 8.783780163199426 3.0160256428464558e-06
0.85 10.76504520490369 5.521413014440419e-06
0.025 0.039516403693048284 6.499341915093502e-09
0.075 0.13209935121391098 2.860968863134305e-08
0.125 0.24601924738296824 4.538774218078455e-08
0.175 0.38494570203605233 1.3584567323374675e-07
0.225 0.5550650175418382 1.292095998557747e-07
0.275 0.7646708406586769 3.5051639079578764e-07
0.325 1.0185432811422228 7.594774642808619e-07
0.375 1.329065883279424 9.83656442054249e-07
0.425 1.7056257710484877 9.483540523242807e-07
0.475 2.1625354219616137 1.2483420777601475e-06
0.525 2.7228406917331096 1.3388531501465675e-06
0.575 3.4017240937501008 2.229534248243681e-06
0.625 4.228141545120039 1.217616455464723e-06
0.675 5.229509139282072 2.9982993092533006e-06
0.725 6.442470961827746 3.494394052396024e-06
0.775 7.926044306931391 5.180042710655412e-06
0.825 9.724396996959086 5.405360328832983e-06
0.875 11.911143825966802 6.239240663817444e-06
0.9 13.169258635768063 7.163804139291873e-06
0.925 14.559267640995637 5.852129273939055e-06
0.95 16.08199117136104 1.7090907148384657e-05
0.975 17.767625476916972 1.1675852333251227e-05
1.0 19.61676043160749 8.573812781125727e-06
