rho_b WCA_p WCA_err
0.05 0.06695326294051006 9.922583096646152e-09
0.1 0.14943198039145292 3.294824497470067e-08
0.15 0.25157960997039674 1.7470588517531915e-08
0.2 0.37730354367405883 1.172764472732952e-07
0.25 0.5317127727641847 2.402844943263618e-07
0.3 0.7213134973357921 2.3536960537438956e-07
0.35 0.9536072985886758 3.9868058846182146e-07
0.4 1.2389875839196134 3.2364093574235557e-07
0.45 1.5871708944209764 8.064623457654937e-07
0.5 2.014069944299166 9.654090341668228e-07
0.55 2.534366942486063 1.305366561086206e-06
0.6 3.1726277388787927 1.4265258751574691e-06
0.65 3.9532073611247913 1.8552601982943934e-06
0.7 4.9098374765790584 1.6494261425230816e-06
0.75 6.078284373608109 3.1604781946909146e-06
0.8 7.5083421127401895 2.378457761409436e-06
0.85 9.261622780025352 3.211738741752455e-06
0.025 0.03157172240204077 3.698174696443291e-09
0.075 0.10604692298787735 2.9003022378839677e-08
0.125 0.1978224363690309 4.5784096221053145e-08
0.175 0.31129950555101815 9.124880508698919e-08
0.225 0.4506776532953567 1.5259999142841634e-07
0.275 0.621750536048145 2.3946631389937443e-07
0.325 0.8316364455953215 3.75904682680134e-07
0.375 1.0900139939321585 3.0192560732842263e-07
0.425 1.4044482984662974 9.066515659597288e-07
0.475 1.788662962142946 9.546229408150002e-07
0.525 2.2614456205625886 1.032584727407552e-06
0.575 2.8385548941594965 1.45542429986666e-06
0.625 3.5436756347062266 1.5967612439137787e-06
0.675 4.4076235932099985 2.0598826260148348e-06
0.725 5.4644158918592876 2.564881089078961e-06
0.775 6.759077630188039 2.8028928740949275e-06
0.825 8.342096994005216 4.005495788015531e-06
0.875 10.27573149062264 2.246034918742781e-06
0.9 11.407830654919161 4.6190275645438e-06
0.925 12.65177299420253 5.1054814027383905e-06
0.95 14.023975456084644 3.839213309515504e-06
0.975 15.5471819145966 6.162610870610945e-06
1.0 17.22926123628499 5.067090531958074e-06
