rho_b LJ_p LJ_err
0.05 0.05182003182533329 2.01645278330561e-08
0.1 0.08952542568636496 4.405732818181662e-08
0.15 0.11587210196897506 1.45284539772205e-07
0.2 0.13482359311154773 2.6193444383615343e-07
0.25 0.14760108798052823 3.952742275816908e-07
0.3 0.1588891870801121 3.975448361231578e-07
0.35 0.17091798346341192 6.967260503179613e-07
0.4 0.19052823789788303 1.049148171844875e-06
0.45 0.2199456103059584 1.2054545055579666e-06
0.5 0.27149711286873934 1.1318583480688945e-06
0.55 0.3628032290639189 6.111930494366746e-07
0.6 0.5216777232273494 1.8326640538627378e-06
0.65 0.7796963548654593 1.4985731393608943e-06
0.7 1.1812046776437495 2.6071421264124882e-06
0.75 1.7791689473027479 1.8433212515390885e-06
0.8 2.6347218674321966 4.830785756569879e-06
0.85 3.8214867582707837 4.5573084141524666e-06
0.025 0.02807845645796435 5.503428482335738e-09
0.075 0.0723292137311 4.214257931883593e-08
0.125 0.10376257493226726 1.1405940392140953e-07
0.175 0.12634842927262246 1.7063446302354673e-07
0.225 0.14222271103505396 3.2349798135652494e-07
0.275 0.15399778278334098 3.6028475852559643e-07
0.325 0.16535980594895758 5.395119276490408e-07
0.375 0.1807613252519229 6.639157498622478e-07
0.425 0.20430588755103285 1.7902454697983937e-06
0.475 0.24285391503026524 1.0701029464232253e-06
0.525 0.31109068137103213 9.5695062225913e-07
0.575 0.4352243804121025 1.3433668348313939e-06
0.625 0.6348289271711327 2.227568960500026e-06
0.675 0.9577622565187954 2.4112798048458277e-06
0.725 1.4491252051248082 2.793267475622157e-06
0.775 2.168615388105376 2.897877613183261e-06
0.825 3.1780443096638846 3.387114269403832e-06
0.875 4.567635266794442 4.233250758718811e-06
0.9 5.425535932100363 6.240387943279302e-06
0.925 6.423279563619105 4.610799224022901e-06
0.95 7.553333630676999 6.437991698205499e-06
0.975 8.849947719147362 5.436350540497237e-06
1.0 10.31816505453095 4.4063546389183055e-06
