rho_b WCA_p WCA_err
0.05 0.05027685970568039 5.81282013644178e-09
0.1 0.11314806771677847 1.7087560195815223e-08
0.15 0.19094433373066189 4.135142945298289e-08
0.2 0.28785678863140524 1.0443877809554201e-07
0.25 0.406577603365384 1.2496123803702349e-07
0.3 0.5533789426269008 2.0446435549247336e-07
0.35 0.7358016085123036 2.598698496721646e-07
0.4 0.9604392251017453 4.4885087546125354e-07
0.45 1.236836388230752 5.011169520005953e-07
0.5 1.5790384929615504 5.352477080834027e-07
0.55 2.0011497543299375 7.862258565379202e-07
0.6 2.5189204392438063 1.1355279084743062e-06
0.65 3.157055361330433 8.674176649941202e-07
0.7 3.950139253790595 1.4457864790510674e-06
0.75 4.924386688811153 1.5929892301881397e-06
0.8 6.131791475494005 2.0480438569901976e-06
0.85 7.6234834238697795 1.939967046066866e-06
0.025 0.023756373934579352 2.3364009831150403e-09
0.075 0.07992074430369242 1.2202694419141671e-08
0.125 0.14981883977826455 3.0334296511085566e-08
0.175 0.23639717530692733 6.16402026652489e-08
0.225 0.34368447416708353 6.386570086272922e-08
0.275 0.4759252875309986 1.4931214755898927e-07
0.325 0.6406893580380332 2.1183143766314147e-07
0.375 0.8420648134377774 3.054303768502234e-07
0.425 1.092160745763968 3.964658567907538e-07
0.475 1.3996760798643286 5.168048195944317e-07
0.525 1.7782520976171874 7.049594628409183e-07
0.575 2.2449775493990494 9.101267995043786e-07
0.625 2.820741300729538 5.713228942778098e-07
0.675 3.530787838860053 9.042080571155318e-07
0.725 4.407493631863134 1.7325132119182567e-06
0.775 5.49246733122868 1.8264201005665133e-06
0.825 6.8360034682301745 2.377644722862011e-06
0.875 8.501804766225193 2.883758254745028e-06
0.9 9.472091450166381 4.241024637138018e-06
0.925 10.554375452016574 3.5781699663401193e-06
0.95 11.756272475604309 1.919015013464155e-06
0.975 13.101789425288386 6.366056935965054e-06
1.0 14.59597166607648 4.107192589835457e-06
