Temperature	Min	Max
0.8	0.0074923877472246655	0.782416411692668
1.18	0.14786867596113953	0.49318802118075983
1.13	0.10800709476601471	0.5475534484674814
0.85	0.012711887136902217	0.755498294698845
1.04	0.06089150580536706	0.631059112556653
1.09	0.08428321820049169	0.5919286687123236
0.9	0.021130152183720493	0.7266586317521359
1.02	0.05273613447551989	0.6473407634613316
1.14	0.11272217097110901	0.5441654346780337
1.03	0.05203592233608351	0.6436924856518168
1.01	0.046645596627507516	0.656594869156982
1.11	0.09693914668210912	0.5724955755587285
1.17	0.1493723318363257	0.49260999223234453
1.07	0.0678306504300961	0.6107496318817076
0.95	0.03388219858887026	0.6951474622746757
1.05	0.06244860596590682	0.6276103335447709
1.19	0.17267605482053178	0.47417259149371443
1.08	0.07976540247877252	0.6051365806884721
1.0	0.05179109497437246	0.6580373595680853
1.16	0.12513336478965278	0.527128352009014
1.12	0.10014563802194688	0.56091120231935
0.7	-0.0008220001402070252	0.8318707134784006
1.2	0.16722441150777456	0.4687390680744737
1.06	0.06881452419151621	0.6174042269617239
1.1	0.08718443161546603	0.5853013198878398
0.75	0.002830928706215159	0.807510859956812
1.15	0.1318155074598455	0.5175966394000799
