rho_b mu_T0.900 mu_T1.000 mu_T1.200 mu_T1.500 mu_T2.000
0.47778 3.14116493415281228252 3.06583896827146462627 2.93370596122190407939 2.77031317901060036846 2.56907979201719260942
0.48889 3.31978409077444958086 3.24070970799246715899 3.10218231465140270586 2.93129341294089229564 2.71920888115683467845
0.50001 3.50246185392922448898 3.41946119446343477222 3.27413410276955652023 3.09540838379448857154 2.87229699272698368873
0.51112 3.68938688243818413426 3.60228494562101531073 3.44973424877119194676 3.26273063625288139988 3.02838806165647644875
0.52223 3.88078164366461120238 3.78939389494634948363 3.62918757704473815551 3.43337201384283385863 3.18753241804815568017
0.53334 4.07688777215911635210 3.98101537235214086863 3.81271045024825872005 3.60745303543044881778 3.34977261836959661068
0.54445 4.27797285274543526157 4.17740122036018135532 4.00053516534843200958 3.78512779525794806901 3.51515546945609802520
0.55556 4.48433242071236914938 4.37882170761193556530 4.19291291368569662978 3.96658549392785353405 3.68373618305291428143
0.56667 4.69628910304851121538 4.58557419015712408594 4.39011530162639207475 4.15203718377895025782 3.85558370782680137623
0.57778 4.91419507977036662538 4.79798795935181843220 4.59243871828583927197 4.34173538395432689896 4.03078987213639461373
0.58889 5.13840261567537126552 5.01639762938920874547 4.80018583405916032802 4.53594652284089683292 4.20945516789857521189
0.60000 5.36928601785797088297 5.24115748973983741621 5.01368089338439926195 4.73497100301879925155 4.39171119257110564860
0.61112 5.60721931423343367129 5.47262916578448965765 5.23326788057483405225 4.93913135542072012640 4.57772598375476569288
0.62223 5.85254389826557108734 5.71116168228885623392 5.45928055874607043307 5.14875371233722667341 4.76768071381351443705
0.63334 6.10560667779464161242 5.95710194470900944452 5.69206917550582325305 5.36419308259505633885 4.96181690814513576271
0.64445 6.36668863709130139483 6.21075477917351559398 5.93196001322426713642 5.58579245026268811358 5.16038504011788212722
0.65556 6.63602012834812704511 6.47238153467442156597 6.17925400028492521898 5.81389373932148512125 5.36367506227757040449
