rho_b P_T0.900 P_T1.000 P_T1.200 P_T1.500 P_T2.000
0.56171 -0.13348435182052842407 0.05186294774434352384 0.41444768937096365669 0.93473517215341228592 1.74681205498377312146
0.58414 -0.12317878064716980546 0.08190247658682414666 0.48151678159816474478 1.05206109595062202722 1.93777695991514997687
0.60657 -0.10108073651565918638 0.12546870385009611937 0.56516231619549606169 1.18973771446479559266 2.15407730019171550495
0.62900 -0.06387265102575234721 0.18597289664751115446 0.66894387332004401348 1.35147066600282528270 2.39955526031072663429
0.65143 -0.00773775994781722432 0.26733662582183526091 0.79694743834788417391 1.54150264744902187886 2.67858642667035606877
0.67386 0.07165188078159068219 0.37400936113926097626 0.95381245593937247218 1.76465071678253626608 2.99612656932814624966
0.69629 0.17913736788218415086 0.51097712492835900555 1.14475192791857871555 2.02633913159672607307 3.35775686979378384933
0.71871 0.32006337711989685246 0.68376075219227738788 1.37556427885601162409 2.33262669335102312829 3.76972688001481914810
0.74114 0.50025548960816612620 0.89840229764411339008 1.65263572173853923175 2.69022758850409404729 4.23899452506066420909
0.76357 0.72598287170665687373 1.16143815075759038180 1.98293189530297420120 3.10652476966353274790 4.77326251603041917804
0.78600 1.00390480382448710195 1.47985747751623053503 2.37397762315572746772 3.58957501031908243760 5.38101062661806572862
0.80843 1.34099964026476325962 1.86104471323400533223 2.83382377368471916057 4.14810490551459754016 6.07152341428890185426
0.83086 1.74447492829677042181 2.31270499885458713507 3.37100039295203712797 4.79149729045475503142 6.85491314477592883492
0.85329 2.22165763789374093307 2.84277170175870175228 3.99445555801880747282 5.52976782532514210544 7.74213791860524835897
0.87571 2.77986377718140964532 3.45929551474763830043 4.71347977821828933997 6.37353186754838230144 8.74501531564334122493
0.89814 3.42624712250986585005 4.17031511372374641411 5.53761628589712717741 7.33396224776236671516 9.87623228711655265499
0.92057 4.16762741498682220964 4.98371001473675434568 6.47655824360812459872 8.42273921551464255231 11.14935255799145252809
0.94300 5.01029921785118403932 5.90703715533338069577 7.54003480019321870031 9.65199466671878880675 12.57882348615169654238
0.96543 5.95982375745788761634 6.94735389994884222631 8.73768911672850734362 11.03425386105185701524 14.17998519673091450954
0.98786 7.02080757212351436181 8.11103172168738772996 10.07895303733744540864 12.58237925324748829325 15.96908591909848951218
1.01029 8.19667378321994810619 9.40356685857650553828 11.57292510769518223412 14.30952288816657080872 17.96330886291559991719
1.03271 9.48943443577773848574 10.82939693457450403002 13.22826128872881668030 16.22909616401261700958 20.18081775897424279265
1.05514 10.89947583817757248426 12.39173607940842281039 15.05309116475367758881 18.35476880685232714541 22.64083046445970381910
1.07757 12.42537344154660772233 14.09244575303516988640 17.05497695853214068507 20.70051282879417442473 25.36373292646301536024
1.10000 14.06375891919093845672 15.93196465495295655046 19.24093858315336191822 23.28071233613675161678 28.37124948933796275696
