rho_b mu_T0.900 mu_T1.000 mu_T1.200 mu_T1.500 mu_T2.000
0.47778 -3.80047227839311041464 -3.18629392702460778608 -2.28183910625246921811 -1.41178006590015581168 -0.59935031951320139054
0.48889 -3.81511866128741328197 -3.18548388800726733905 -2.25877206957239762275 -1.36829739119175175510 -0.53839628391052196665
0.50001 -3.82797645000940844895 -3.18269849493179179944 -2.23354754086369311494 -1.32261725426254050930 -0.47537712943361926099
0.51112 -3.83874730703467825776 -3.17766416529586592787 -2.20593047843063772007 -1.27454518295829855035 -0.41014038583235024049
0.52223 -3.84710678688706098072 -3.17008451670416535606 -2.17566793406707992276 -1.22387365096967415390 -0.34252528148815641895
0.53334 -3.85270396354071120726 -3.15963990092409829913 -2.14248849009756670014 -1.17038148137231012846 -0.27236219128717920057
0.54445 -3.85516118163513921147 -3.14598704291741215755 -2.10610177382019880810 -1.11383330189239715402 -0.19947211463811073684
0.55556 -3.85407393432219480545 -3.12875878737065749036 -2.06619805123774114008 -1.05397905295909377621 -0.12366618377640570259
0.56667 -3.84901087072025172020 -3.10756395539095020553 -2.02244790209741154285 -0.99055354974411757851 -0.04474520265320591772
0.57778 -3.83951393607215818449 -3.08198731414035620446 -1.97450197835641372279 -0.92327609948956468333 0.03750078317287575819
0.58889 -3.82509864779345098995 -3.05158966225634786795 -1.92199084825251653719 -0.85185017549270558579 0.12329288513494679469
0.60000 -3.80525451065820385921 -3.01590803394983320018 -1.86452492819163406779 -0.77596314915448638683 0.21286373818128173641
0.61112 -3.77944557440347450594 -2.97445602468877101643 -1.80169450466815161960 -0.69528608150969561930 0.30645783462043130196
0.62223 -3.74711113704065956753 -2.92672424136401287953 -1.73306984841134403830 -0.60947357564308457523 0.40433182467147604777
0.63334 -3.70766659714237034606 -2.87218087979666103493 -1.65820142290267047436 -0.51816369135810880220 0.50675478310924948477
0.64445 -3.66050445832673343460 -2.81027243238107837797 -1.57662018933407099830 -0.42097792340492801166 0.61400844141966148815
0.65556 -3.60499548908572542416 -2.74042452856474527678 -1.48783800997718862469 -0.31752124449092000713 0.72638738492369503419
0.66667 -3.54049004099863573458 -2.66204291074334653544 -1.39134815180507565024 -0.20738221419105193344 0.84419921438964051763
0.67778 -3.46631952823329880786 -2.57451454799523782313 -1.28662589205220778688 -0.09013315474597557997 0.96776467173147784351
0.68889 -3.38179807106373386816 -2.47720888989095922028 -1.17312922721149170968 0.03466960541866986878 1.09741772948756532990
