rho_b LJ_p LJ_err
0.05 0.034158422103791906 1.3816825379695528e-08
0.1 0.04786202712895506 6.647811181631239e-08
0.15 0.04546903096268738 1.7362197609487596e-07
0.2 0.03737035052048272 2.2998557007867894e-07
0.25 0.025074010563444292 3.3289032209288597e-07
0.3 0.012145000046716965 2.920304874985139e-07
0.35 -0.001727058235260556 4.598248366117353e-07
0.4 -0.022593380854296234 4.5668574751607523e-07
0.45 -0.04958607075976979 7.888735876550515e-07
0.5 -0.08072471915456639 2.5606601979116987e-06
0.55 -0.11178521807018808 1.8214399814872975e-06
0.6 -0.10232433422007628 1.3640504141368017e-06
0.65 -0.01581919202241245 1.4752894552726485e-06
0.7 0.19558124821585493 1.7183789678528203e-06
0.75 0.5770096759663764 1.480268969008956e-06
0.8 1.1942747274424599 2.354904276710642e-06
0.85 2.1201775187204097 1.1811062320769377e-06
0.025 0.019717096195048037 5.4454773406873576e-09
0.075 0.04365602539347785 3.525181028994252e-08
0.125 0.04828003956564818 8.979056007567472e-08
0.175 0.04220385201328804 1.1366393445619444e-07
0.225 0.031040571761114792 3.127543551526865e-07
0.275 0.01810159157788121 4.0341504386079306e-07
0.325 0.00487917784063296 5.166297933233875e-07
0.375 -0.013391680485768345 7.485331262160723e-07
0.425 -0.03444790454444577 7.933556447597276e-07
0.475 -0.06301534369448258 5.527087382831161e-07
0.525 -0.09977819404755182 1.6516713985753922e-06
0.575 -0.11677319610785138 1.1956610546171931e-06
0.625 -0.071211403279707 7.438547542154214e-07
0.675 0.06913955362713047 1.8102261643525185e-06
0.725 0.35967392329160214 1.7086462470987634e-06
0.775 0.8535020671969754 2.4728675327405283e-06
0.825 1.6106742750874523 2.3728431020536886e-06
0.875 2.7267196905221893 3.0672401196180626e-06
0.9 3.4433793681269957 2.0866224741517295e-06
0.925 4.280446825161556 3.3738008663340856e-06
0.95 5.26092014238882 3.253621454876478e-06
0.975 6.400677068852762 2.3024385124396454e-06
1.0 7.709727602105492 1.7639363155315853e-06
