rho_b LJ_p LJ_err
0.05 0.09659449209213135 2.1358208148992025e-08
0.1 0.18858210033252668 9.447650374941436e-08
0.15 0.27880561556870587 2.1976094760658157e-07
0.2 0.3724034298044215 3.892544931237082e-07
0.25 0.47164273727968875 5.876344219425152e-07
0.3 0.5802523552762923 4.864720163150821e-07
0.35 0.7129802537502332 1.2918195145992122e-06
0.4 0.8729945956955465 5.626875309706748e-07
0.45 1.0741981695419858 1.2371874923148558e-06
0.5 1.3331766256211404 2.464411407192479e-06
0.55 1.6817714391214955 2.471077116967113e-06
0.6 2.142081435474047 3.909711968981112e-06
0.65 2.748732139886265 2.841577114895849e-06
0.7 3.549324579484354 2.82394001269479e-06
0.75 4.603939894771095 5.2715866167100485e-06
0.8 5.973037556346064 3.007430539270217e-06
0.85 7.73691357917628 8.410282744417849e-06
0.025 0.04916362760353302 1.1078253781752015e-08
0.075 0.14254951875968608 6.790525513145993e-08
0.125 0.2335450369092902 1.3333942372130827e-07
0.175 0.32522044378720066 3.3205403689089013e-07
0.225 0.4197960932455339 6.826685463034998e-07
0.275 0.5240225476049994 6.342388680913302e-07
0.325 0.6430719545340503 1.0827148889008513e-06
0.375 0.7888889536850486 1.9553553426051216e-06
0.425 0.967703369808343 1.7478681744439274e-06
0.475 1.1995184797904885 2.1128089386173917e-06
0.525 1.4957473089639743 3.1248161299998878e-06
0.575 1.896183772401626 4.362707031445114e-06
0.625 2.423409427877774 1.1471663341724693e-06
0.675 3.122156454617963 4.780390996483992e-06
0.725 4.039101092181791 3.269235266313929e-06
0.775 5.242259206509891 5.711526688022795e-06
0.825 6.7995418807772445 1.2804958727411089e-05
0.875 8.787272827712162 8.001415730395623e-06
0.9 9.972612496240785 1.171538706835741e-05
0.925 11.302341310982115 1.022718689740579e-05
0.95 12.795717799124088 1.0830339455471004e-05
0.975 14.450658309280133 1.1931883255537818e-05
1.0 16.30240074341485 1.892985913008892e-05
