k sk_rho_0.2 sk_rho_0.4 sk_rho_0.6 sk_rho_0.8
0.00000 0.44883128247842840608 0.19777324542063492996 0.08987493411804896304 0.04140504215380358399
0.01000 0.44862725760746130499 0.19786645848240325130 0.08994663908723760093 0.04143482359243780971
0.02000 0.44843003711496515207 0.19796003568479428325 0.09001792846087501576 0.04146442800637759746
0.03000 0.44823961812188678477 0.19805400823508703678 0.09008882307058191374 0.04149386480740701461
0.04000 0.44805599774917237443 0.19814840734056027305 0.09015934374797893169 0.04152314340731010078
0.05000 0.44787917311776892504 0.19824326420849303076 0.09022951132468685909 0.04155227321787094419
0.06000 0.44770914134862271894 0.19833861004616407109 0.09029934663232631886 0.04158126365087356363
0.07000 0.44754589956268037154 0.19843447606085240498 0.09036887050251804498 0.04161012411810204037
0.08000 0.44738944488088827622 0.19853089345983679359 0.09043810376688264652 0.04163886403134040709
0.09000 0.44723977442419332595 0.19862789345039624789 0.09050706725704089906 0.04166749280237275199
0.10000 0.44709688531354169205 0.19872550723980961229 0.09057578180461345330 0.04169601984298309388
0.11000 0.44696077466988037852 0.19882376603535578674 0.09064426824122104320 0.04172445456495552096
0.12000 0.44683143961415550116 0.19892270104431361566 0.09071254739848429172 0.04175280638007407286
0.13000 0.44670887726731400846 0.19902234347396216552 0.09078064010802396055 0.04178108470012281001
0.14000 0.44659308475030207175 0.19912272453158005869 0.09084856720146065878 0.04180929893688576510
0.15000 0.44648405918406658399 0.19922387542444638941 0.09091634951041514812 0.04183745850214702633
0.16000 0.44638179768955382754 0.19932582735984000211 0.09098400786650807925 0.04186557280769064721
0.17000 0.44628629738771063984 0.19942861154503982446 0.09105156310136017228 0.04189365126530066041
0.18000 0.44619755539948319223 0.19953225918732461763 0.09111903604659209177 0.04192170328676112639
0.19000 0.44611556884581854421 0.19963680149397344810 0.09118644753382455781 0.04194973828385612641
0.20000 0.44604033484766286710 0.19974226967226507701 0.09125381839467822109 0.04197776566836967926
0.21000 0.44597185052596294286 0.19984869492947854308 0.09132116946077382946 0.04200579485208587316
0.22000 0.44591011300166483178 0.19995610847289244094 0.09138852156373197810 0.04203383524678873384
0.23000 0.44585511939571592643 0.20006454150978608686 0.09145589553517347037 0.04206189626426236339
0.24000 0.44580686682906195406 0.20017402524743801995 0.09152331220671891532 0.04208998731629075979
0.25000 0.44576535242265025172 0.20028459089312741770 0.09159079240998906080 0.04211811781465802512
0.26000 0.44573057329742687971 0.20039626965413295800 0.09165835697660459913 0.04214629717114820595
0.27000 0.44570252657433812038 0.20050909273773354080 0.09172602673818609775 0.04217453479754531415
0.28000 0.44568120937433114426 0.20062309135120817705 0.09179382252635440165 0.04220284010563345178
0.29000 0.44566661881835228920 0.20073829670183573892 0.09186176517273014763 0.04223122250719667237
0.30000 0.44565875202734817062 0.20085473999689504310 0.09192987550893402804 0.04225969141401902246
0.31000 0.44565760612226501536 0.20097245244366496175 0.09199817436658667968 0.04228825623788454169
0.32000 0.44566317822404977189 0.20109146524942456136 0.09206668257730885041 0.04231692639057730437
0.33000 0.44567546545364872257 0.20121180962145254756 0.09213542097272124642 0.04234571128388137096
0.34000 0.44569446493200876036 0.20133351676702798683 0.09220441038444451842 0.04237462032958079494
0.35000 0.44572017378007600108 0.20145661789342955705 0.09227367164409934486 0.04240366293945959514
0.36000 0.44575258911879750423 0.20158114420793640797 0.09234322558330652908 0.04243284852530189444
0.37000 0.44579170806911927460 0.20170712691782713422 0.09241309303368658301 0.04246218649889168389
0.38000 0.44583752775198837170 0.20183459723038099654 0.09248329482686035163 0.04249168627201306558
0.39000 0.44589004528835091135 0.20196358635287650629 0.09255385179444840238 0.04252135725645006525
0.40000 0.44594925779915378650 0.20209412549259289649 0.09262478476807155248 0.04255120886398676416
0.41000 0.44601516240534344604 0.20222624585680876175 0.09269611457935038323 0.04258125050640718806
0.42000 0.44608775622786644988 0.20235997865280327956 0.09276786205990565637 0.04261149159549542514
0.43000 0.44616703638766908036 0.20249535508785504456 0.09284004804135799482 0.04264194154303548728
0.44000 0.44625300000569845249 0.20263240636924323423 0.09291269335532817419 0.04267260976081148349
0.45000 0.44634564420290068210 0.20277116370424655423 0.09298581883343684518 0.04270350566060743952
0.46000 0.44644496610022255112 0.20291165830014401550 0.09305944530730468622 0.04273463865420742275
0.47000 0.44655096281861050844 0.20305392136421432370 0.09313359360855237579 0.04276601815339544505
0.48000 0.44666363147901105846 0.20319798410373660080 0.09320828456880064783 0.04279765356995562930
0.49000 0.44678296920237081657 0.20334387772598960797 0.09328353901967013917 0.04282955431567198046
0.50000 0.44690897310963639821 0.20349163343825232841 0.09335937779278161153 0.04286172980232859364
0.51000 0.44704164032175452981 0.20364128244780363430 0.09343582171975571560 0.04289418944170950848
0.52000 0.44718096795967127166 0.20379285596192228680 0.09351289163221312983 0.04292694264559875766
0.53000 0.44732695314433335021 0.20394638518788721360 0.09359060836177451881 0.04295999882578040857
0.54000 0.44747959299668765842 0.20410190133297750892 0.09366899274006068588 0.04299336739403853552
0.55000 0.44763888463768058967 0.20425943560447196168 0.09374806559869222622 0.04302705776215720590
0.56000 0.44780482518825848182 0.20441901920964930528 0.09382784776928981829 0.04306107934192041770
0.57000 0.44797741176936789476 0.20458068335578855068 0.09390836008347420993 0.04309544154511226605
0.58000 0.44815664150195572146 0.20474445925016870884 0.09398962337286606572 0.04313015378351682527
0.59000 0.44834251150696852184 0.20491037810006856867 0.09407165846908611961 0.04316522546891811418
0.60000 0.44853501890535241170 0.20507847111276694685 0.09415448620375496680 0.04320066601310020016
0.61000 0.44873416081805433953 0.20524876949554288208 0.09423812740849341063 0.04323648482784715058
0.62000 0.44893993436602053215 0.20542130445567510777 0.09432260291492201854 0.04327269132494299120
0.63000 0.44915233667019793806 0.20559610720044271814 0.09440793355466160774 0.04330929491617181021
0.64000 0.44937136485153272858 0.20577320893712436334 0.09449414015933277344 0.04334630501331764724
0.65000 0.44959701603097190770 0.20595264087299924860 0.09458124356055626347 0.04338373102816456967
0.66000 0.44982928732946142469 0.20613443421534591304 0.09466926458995271465 0.04342158237249661018
0.67000 0.45006817586794850561 0.20631862017144358967 0.09475822407914293033 0.04345986845809785698
0.68000 0.45031367876737921074 0.20650522994857087311 0.09484814285974743631 0.04349859869675233581
0.69000 0.45056579314870015551 0.20669429475400685758 0.09493904176338704981 0.04353778250024410712
0.70000 0.45082451613285812186 0.20688584579503033201 0.09503094162168240766 0.04357742928035723828
0.71000 0.45108984484079966970 0.20707991427892025182 0.09512386326625421606 0.04361754844887580362
0.72000 0.45136177639347113688 0.20727653141295551698 0.09521782752872318123 0.04365814941758382195
0.73000 0.45164030791181902780 0.20747572840441494413 0.09531285524070993997 0.04369924159826535370
0.74000 0.45192543651679012440 0.20767753646057743322 0.09540896723383521238 0.04374083440270444545
0.75000 0.45221715932933104209 0.20788198678872205072 0.09550618433971973242 0.04378293724268521314
0.76000 0.45251547347038828528 0.20808911059612755778 0.09560452738998417854 0.04382555952999166171
0.77000 0.45282037606090796977 0.20829893909007274333 0.09570401721624915981 0.04386871067640783772
