k sk_rho_0.2 sk_rho_0.4 sk_rho_0.6 sk_rho_0.8
0.00000 1.67975807271531563103 0.93658115911690942301 0.22306254486812132631 0.05972435756108770977
0.01000 1.67221142851790638417 0.93249273550128464194 0.22292515939988827300 0.05980583635282921140
0.02000 1.66469245215201100407 0.92841735596664254349 0.22278378329633849453 0.05988548843867565197
0.03000 1.65720113537087110345 0.92435503968934851216 0.22263846079875265760 0.05996333259475331023
0.04000 1.64973746992772851705 0.92030580584576748837 0.22248923614841117913 0.06003938759718841639
0.05000 1.64230144757582663395 0.91626967361226552278 0.22233615358659489236 0.06011367222210729083
0.06000 1.63489306006840440233 0.91224666216520700068 0.22217925735458401992 0.06018620524563612906
0.07000 1.62751229915870698761 0.90823679068095819478 0.22201859169365947833 0.06025700544390126534
0.08000 1.62015915659997356002 0.90424007833588326832 0.22185420084510149019 0.06032609159302889518
0.09000 1.61283362414544773067 0.90025654430634838299 0.22168612905019099979 0.06039348246914535284
0.10000 1.60553569354837044614 0.89628620776871803510 0.22151442055020822974 0.06045919684837682689
0.11000 1.59826535656198398527 0.89232908789935827532 0.22133911958643395779 0.06052325350684963079
0.12000 1.59102260493952973874 0.88838520387463371097 0.22116027040014865634 0.06058567122069001554
0.13000 1.58380743043425042949 0.88445457487091028170 0.22097791723263301988 0.06064646876602424602
0.14000 1.57661982479938678203 0.88053722006455248383 0.22079210432516740981 0.06070566491897855937
0.15000 1.56945977978818151932 0.87663315863192614596 0.22060287591903254834 0.06076327845567926211
0.16000 1.56232728715387625407 0.87274240974939609750 0.22041027625550896341 0.06081932815225257749
0.17000 1.55522233864971282102 0.86886499259332805600 0.22021434957587718295 0.06087383278482479815
0.18000 1.54814492602893305495 0.86500092634008696191 0.22001514012141781818 0.06092681112952215428
0.19000 1.54109504104477945674 0.86115023016603853279 0.21981269213341153579 0.06097828196247097321
0.20000 1.53407267545049230684 0.85731292324754726497 0.21960704985313866944 0.06102826405979741575
0.21000 1.52707782099931521635 0.85348902476097920911 0.21939825752187996910 0.06107677619762785087
0.22000 1.52011046944448890983 0.84967855388269908357 0.21918635938091590720 0.06112383715208847407
0.23000 1.51317061253925611020 0.84588152978907249491 0.21897139967152717821 0.06116946569930557798
0.24000 1.50625824203685798608 0.84209797165646438355 0.21875342263499419904 0.06121368061540540667
0.25000 1.49937334969053659428 0.83832789866124046707 0.21853247251259763639 0.06125650067651425973
0.26000 1.49251592725353421365 0.83457132997976579691 0.21830859354561804597 0.06129794465875836734
0.27000 1.48568596647909179076 0.83082828478840531350 0.21808182997533587244 0.06133803133826396664
0.28000 1.47888345912045138242 0.82709878226352451236 0.21785222604303181027 0.06137677949115736414
0.29000 1.47210839693085615565 0.82338284158148922209 0.21761982598998652616 0.06141420789356483861
0.30000 1.46536077166354683499 0.81968048191866393903 0.21738467405748038153 0.06145033532161261330
0.31000 1.45864057507176458905 0.81599172245141371462 0.21714681448679395981 0.06148518055142695310
0.32000 1.45194779890875302897 0.81231658235610493257 0.21690629151920801099 0.06151876235913415064
0.33000 1.44528243492775287926 0.80865508080910197819 0.21666314939600289646 0.06155109952086043612
0.34000 1.43864447488200664083 0.80500723698677045803 0.21641743235845931070 0.06158221081273209524
0.35000 1.43203391052475526024 0.80137307006547553456 0.21616918464785778164 0.06161211501087538595
0.36000 1.42545073360924190453 0.79775259922158248127 0.21591845050547892049 0.06164083089141656618
0.37000 1.41889493588870707619 0.79414584363145634960 0.21566527417260317190 0.06166837723048188696
0.38000 1.41236650911639372019 0.79055282247146307917 0.21540969989051128586 0.06169477280419766174
0.39000 1.40586544504554256108 0.78697355491796683324 0.21515177190048359601 0.06172003638869007908
0.40000 1.39939173542939654382 0.78340806014733399554 0.21489153444380090785 0.06174418676008545936
0.41000 1.39294537202119705910 0.77985635733592928442 0.21462903176174363828 0.06176724269451004667
0.42000 1.38652634657418616371 0.77631846566011797339 0.21436430809559248178 0.06178922296809010589
0.43000 1.38013465084160524832 0.77279440429626533593 0.21409740768662785526 0.06181014635695188802
0.44000 1.37377027657669703586 0.76928419242073697859 0.21382837477613039767 0.06183003163722169265
0.45000 1.36743321553270247293 0.76578784920989750873 0.21355725360538063695 0.06184889758502571527
0.46000 1.36112345946286428244 0.76230539384011297699 0.21328408841565929532 0.06186676297649030404
0.47000 1.35484100012042341099 0.75883684548774799072 0.21300892344824676194 0.06188364658774166138
0.48000 1.34858582925862258151 0.75538222332916826751 0.21273180294442373128 0.06189956719490607995
0.49000 1.34235793863070296261 0.75194154654073863675 0.21245277114547062025 0.06191454357410978299
0.50000 1.33615731998990727725 0.74851483429882503806 0.21217187229266820658 0.06192859450147910477
0.51000 1.32998396508947669403 0.74510210577979218982 0.21188915062729685168 0.06194173875314025468
0.52000 1.32383786568265260364 0.74170338016000503245 0.21160465039063716675 0.06195399510521948372
0.53000 1.31771901352267728491 0.73831867661582950557 0.21131841582396973522 0.06196538233384306371
0.54000 1.31162740036279390488 0.73494801432363088267 0.21103049116857527934 0.06197591921513730812
0.55000 1.30556301795624296602 0.73159141245977421519 0.21074092066573424376 0.06198562452522844712
