temperature pressure
0.67000 0.00088705543253471267
0.68286 0.00107709848799281680
0.69571 0.00129866320743739975
0.70857 0.00155507900768270756
0.72143 0.00184977203560820428
0.73429 0.00218631614906310756
0.74714 0.00256830326875903984
0.76000 0.00299949065686862552
0.77286 0.00348366917002839067
0.78571 0.00402468491576111857
0.79857 0.00462659286289481171
0.81143 0.00529330311196116610
0.82429 0.00602896219246984444
0.83714 0.00683762793628801911
0.85000 0.00772360879006111709
0.86286 0.00869105405195941608
0.87571 0.00974422855960527939
0.88857 0.01088749589453711156
0.90143 0.01212522237317147783
0.91429 0.01346161102463489662
0.92714 0.01490162788208452931
0.94000 0.01644899384598391343
0.95286 0.01810861553587379477
0.96571 0.01988524318126021553
0.97857 0.02178266592198525517
0.99143 0.02380626950094243133
1.00429 0.02595992575140438838
1.01714 0.02824891683415076127
1.03000 0.03067742624398073562
1.04286 0.03325080707918715017
1.05571 0.03597257689963557353
1.06857 0.03884919199679368051
1.08143 0.04188350879238903618
1.09429 0.04508270712860921320
1.10714 0.04844955995450915542
1.12000 0.05199183562016852778
1.13286 0.05571258673178987320
1.14571 0.05961847980016736492
1.15857 0.06371422479003445438
1.17143 0.06800647749638534523
1.18429 0.07250088690391245927
1.19714 0.07720591248103630955
1.21000 0.08212642258188351807
1.22286 0.08727001703028229584
1.23571 0.09264808870668941876
1.24857 0.09826826743272618070
1.26143 0.10414403845657083103
1.27429 0.11029126643035526423
1.28714 0.11671540920186930512
1.30000 0.12338859542126352775
