,loss,mean_absolute_error,val_loss,val_mean_absolute_error,learning_rate
0,0.15172544121742249,0.198960080742836,0.12680386006832123,0.15839622914791107,0.0010000000474974513
1,0.12222900986671448,0.1586281806230545,0.12336484342813492,0.15961718559265137,0.0010000000474974513
2,0.1145714595913887,0.1489802449941635,0.10947468131780624,0.1403605192899704,0.0010000000474974513
3,0.10260104387998581,0.13818809390068054,0.11178253591060638,0.13484007120132446,0.0010000000474974513
4,0.10100160539150238,0.13529177010059357,0.11076975613832474,0.1367681920528412,0.0010000000474974513
5,0.09984280169010162,0.13284794986248016,0.11345090717077255,0.13589520752429962,0.0010000000474974513
6,0.0987195149064064,0.13087427616119385,0.10927397012710571,0.13138805329799652,0.0009500000160187483
7,0.09684810042381287,0.12810169160366058,0.11124655604362488,0.131552055478096,0.0009025000035762787
8,0.09429137408733368,0.12584005296230316,0.11779110878705978,0.1300666630268097,0.0008573749801144004
9,0.09250642359256744,0.12383505702018738,0.11322429031133652,0.14431996643543243,0.0008145062020048499
10,0.09133486449718475,0.12224837392568588,0.11711124330759048,0.13086287677288055,0.000773780862800777
11,0.09055276215076447,0.12098357826471329,0.11638730764389038,0.13179190456867218,0.0007350918021984398
12,0.08993478119373322,0.12001918256282806,0.11340568959712982,0.13076291978359222,0.0006983372149989009
13,0.08938682079315186,0.11870630830526352,0.11385984718799591,0.12834207713603973,0.0006634203600697219
14,0.0890040248632431,0.11793820559978485,0.11177792400121689,0.12796932458877563,0.0006302493275143206
15,0.08865758776664734,0.11716867238283157,0.11003084480762482,0.12726247310638428,0.0005987368640489876
16,0.08830686658620834,0.11629055440425873,0.11101918667554855,0.12965206801891327,0.0005688000237569213
17,0.08805914968252182,0.11581005156040192,0.11169926077127457,0.1285785585641861,0.0005403599934652448
18,0.08774763345718384,0.11520379781723022,0.10992849618196487,0.12821225821971893,0.0005133419763296843
19,0.08746826648712158,0.1144634261727333,0.10949978977441788,0.1267501413822174,0.00048767487169243395
