mu LJ_rho LJ_err
-10.0 0.0010219505418171718 0.00015392061333295147
-9.0 0.0010674887151822091 0.0002599192401596862
-8.0 0.0011815526786103487 0.0004387825236139154
-7.0 0.0015292046827479905 0.0007760603152179159
-6.0 0.002731633222989634 0.001466288408167127
-5.0 0.006903342468496198 0.0026471614077153375
-4.0 0.0196142625 0.004588888109456053
-3.0 0.061001112499999996 0.00867667483903481
-2.0 0.26116395 0.0201860198007772
-1.0 0.5644146249999998 0.012971814102483976
0.0 0.6823766375000002 0.009688199352490571
1.0 0.7538554624999999 0.007679534257433186
2.0 0.8074280625 0.006623414904420505
3.0 0.8489274500000001 0.006268577310482779
4.0 0.8758816875000001 0.0073992391265804355
5.0 0.89494275 0.008172727356124688
6.0 0.9125170749999999 0.011525690150456878
7.0 0.9341093125000002 0.006576882869362815
8.0 0.9444729478766868 0.003887145643780144
9.0 0.9525988840158954 0.007540195524768765
10.0 0.9656863831759948 0.005828727946201678
11.0 0.9706957279119665 0.0068259479594153455
12.0 0.9782058836151404 0.007181143750596707
13.0 0.9951729811552554 0.006818662220586658
14.0 1.0028873921326906 0.00568200286154008
15.0 1.0062378535494687 0.006348080547636196
-2.5 0.11861284810126581 0.01308562355361981
-1.3 0.5072861898734177 0.015029607292153255
-1.7 0.3874826075949367 0.01968903637053916
