mu WCA_rho WCA_err
-10.0 0.0010258485052820861 0.0001628771860134502
-9.0 0.0010645412804296981 0.00025539602318032183
-8.0 0.0011793337532367558 0.00043420461222177636
-7.0 0.0015154407070130048 0.000760527224915648
-6.0 0.0026783875 0.0014273937438017113
-5.0 0.006538562499999995 0.002514754050319137
-4.0 0.0169559125 0.003978450551703149
-3.0 0.04114996249999999 0.00586016840616365
-2.0 0.08830176249999999 0.007736077939990069
-1.0 0.15945896249999997 0.008946924942324979
0.0 0.243690825 0.009257909365476867
1.0 0.3279910875 0.009035848497364773
2.0 0.40521695 0.0086131285081269
3.0 0.474067325 0.008072077944643454
4.0 0.534340175 0.007655152249915744
5.0 0.5874571875000001 0.0073811799253128575
6.0 0.634833775 0.007201520273482371
7.0 0.6766464875 0.007123836144408475
8.0 0.7139560375000001 0.007316110975003405
9.0 0.7472835124999999 0.008446011375932792
10.0 0.7776005125 0.009604453250306103
11.0 0.8065483875000001 0.01219077145426078
12.0 0.8283077 0.015382441961867672
13.0 0.8446618 0.01706674898040301
14.0 0.8576049500000001 0.01412591361638334
15.0 0.86806425 0.015792504454247066
