mu WCA_rho WCA_err
-10.0 0.0010211924272393335 0.00014979553546813507
-9.0 0.001060788963138608 0.00024910164627680876
-8.0 0.0011808990239418748 0.00044010767621940937
-7.0 0.001528570833159672 0.0007717359686854925
-6.0 0.0026837419831252478 0.0014321571737043709
-5.0 0.006566533166458067 0.0025170838305172837
-4.0 0.017000499999999995 0.003984996831868354
-3.0 0.041517387499999996 0.005927452882550202
-2.0 0.08950446249999999 0.007829390467085393
-1.0 0.16307728749999997 0.009098588579684078
0.0 0.2508541875 0.009456311448701434
1.0 0.3394156875 0.009323498077565589
2.0 0.420943325 0.008820435813743914
3.0 0.49363605 0.008193156619855556
4.0 0.5575690249999999 0.007703185091206278
5.0 0.6137316875000001 0.00723833170712266
6.0 0.6639624125 0.006829688842095763
7.0 0.7085765500000001 0.00656925909806466
8.0 0.7490828 0.00631392264444188
9.0 0.7843749375 0.006304961091958923
10.0 0.814058975 0.007788252175511731
11.0 0.8473154250000001 0.008126406467152587
12.0 0.865445275 0.011861577895639403
13.0 0.8898343124999999 0.01417931980569509
14.0 0.9054712625000002 0.012565713237055217
15.0 0.9218734125000001 0.015352273059866701
