mu WCA_rho WCA_err
-10.0 0.0010230116175156392 0.00015434560424152453
-9.0 0.0010592145015105743 0.00024605280160855327
-8.0 0.0011753423688028598 0.0004308669073996888
-7.0 0.0015232216245113438 0.0007652164282057266
-6.0 0.0026857875 0.0014277807971968095
-5.0 0.006573624999999995 0.0025154978352954303
-4.0 0.017059099999999994 0.003997553275442125
-3.0 0.04169466250000001 0.005948372173216447
-2.0 0.0904955875 0.007934445823739445
-1.0 0.16587737499999997 0.009265215221967651
0.0 0.256561575 0.009654114849087344
1.0 0.3484043874999999 0.009446855733515802
2.0 0.4335131875 0.008935755485118834
3.0 0.509190225 0.008517020573496532
4.0 0.575928325 0.008173913548257205
5.0 0.6351346375 0.007672094579943765
6.0 0.6870808625 0.007462821099026882
7.0 0.7343074500000001 0.00761700397121426
8.0 0.7760644874999999 0.007936819505466647
9.0 0.8140163125 0.008091042664723339
10.0 0.8480722625 0.008763382088623138
11.0 0.8762793375000001 0.010517994488545991
12.0 0.9024284875000002 0.012516312794204867
13.0 0.9262413124999999 0.016428091209184374
14.0 0.9385133749999999 0.013526524724012718
15.0 0.959890575 0.015835781514327924
