temperature rho_g rho_l mu_coex
0.67000 0.00519423002175430949 0.80311248591221440218 -5.35355387809038063551
0.67853 0.00575325396370515458 0.79856669171179972544 -5.25907443621719217219
0.68706 0.00635647172955886974 0.79400124981957387327 -5.16747377887287662190
0.69559 0.00700627988586674088 0.78941331218164012551 -5.07864331540271152221
0.70412 0.00770532224406505085 0.78480083471089467917 -4.99246360508281661339
0.71265 0.00845564550274963481 0.78016007311327018048 -4.90884864812670862477
0.72118 0.00926039786417929590 0.77548987605513608479 -4.82767357986836298522
0.72971 0.01012160678580679984 0.77078538662727014152 -4.74887604676863350761
0.73824 0.01104271672047973593 0.76604487703275003785 -4.67234562069765324566
0.74678 0.01202631197995446960 0.76126480637775462146 -4.59800333808306760375
0.75531 0.01307565746157261614 0.75644131537058401094 -4.52577602401956902156
0.76384 0.01419370154726643310 0.75157107890928043226 -4.45558243488869631932
0.77237 0.01538433808861825423 0.74665085819082122054 -4.38734304701873334409
0.78090 0.01665063567829195082 0.74167599211216972410 -4.32099717721510145907
0.78943 0.01799685244562523531 0.73664252227990079103 -4.25647473409433629854
0.79796 0.01942650624476635959 0.73154569775479927340 -4.19371407383491945353
0.80649 0.02094478763667607935 0.72638181718182859292 -4.13264283847124147542
0.81502 0.02255511227011280928 0.72114430508326166080 -4.07321844902354612827
0.82355 0.02426353280156914177 0.71582843934611573022 -4.01537660312343902547
0.83208 0.02607431018576285633 0.71042815476160325883 -3.95906494710565848294
0.84061 0.02799453913797829083 0.70493754644959072397 -3.90422814266386541959
0.84914 0.03002835273183422291 0.69934816752540596152 -3.85083038774537733673
0.85767 0.03218473355920643819 0.69365476464988429228 -3.79880456018379097927
0.86620 0.03446920112878225362 0.68784650854480355875 -3.74812698387960185897
0.87473 0.03689029073459453023 0.68191542943985583580 -3.69874511453573395769
0.88327 0.03945737239830814092 0.67585103658044587416 -3.65062025972998771550
0.89180 0.04217911630656411698 0.66964371940898925750 -3.60370364587491076591
0.90033 0.04506823501750188699 0.66327955396740234661 -3.55796697094845759679
0.90886 0.04813442845942886988 0.65674605471505931309 -3.51336628345745793922
0.91739 0.05139258520500661342 0.65002491661454409044 -3.46988253813930080938
0.92592 0.05485774875887734769 0.64310084749143292537 -3.42746829260315077903
0.93445 0.05854711547303247804 0.63595396501209389140 -3.38609236111331846075
0.94298 0.06248185477392326215 0.62855909624564598737 -3.34573312498046693264
0.95151 0.06668265823573017725 0.62089251149364399485 -3.30634980392551725004
0.96004 0.07117916191973626405 0.61291928599635048247 -3.26792944090734094331
0.96857 0.07600137505499812707 0.60460695259583130401 -3.23043047308010189411
0.97710 0.08118658896563055172 0.59590834320431884663 -3.19383990594893285575
0.98563 0.08678471782376472043 0.58677548246744493099 -3.15812109538537466591
0.99416 0.09284154654221496439 0.57713784017164548867 -3.12326835626805010548
1.00269 0.09944051104347037540 0.56692063125755953745 -3.08924862038946868026
1.01122 0.10666323915795404564 0.55602578325011919880 -3.05603740273283275286
1.01976 0.11461878802680522393 0.54431930225719404870 -3.02362555675467481464
1.02829 0.12347634739462694242 0.53163412005377119751 -2.99198840678818012151
1.03682 0.13344180306204736497 0.51773025084738177881 -2.96111729146009938773
1.04535 0.14483122892495517431 0.50227177489333174609 -2.93099633044175966745
1.05388 0.15814423924192771986 0.48476132109550368332 -2.90160506144913155069
1.06241 0.17415106014872100415 0.46428820580339136281 -2.87298312942260114511
1.07094 0.19417149584527299000 0.43895324444777467088 -2.84521602414967000882
1.07947 0.22201478489875198230 0.40481608462183904518 -2.81817952703102836409
1.08800 0.27895669703738451561 0.34138270328172520829 -2.79180796395655983488
